protein	mode	fr	set	peak	cnt
STARD2	pos	E11	valids	peak	228
STARD2	pos	E10	valids	peak	267
STARD2	pos	E12	valids	non-peak	130
STARD2	pos	E9	valids	peak	253
STARD2	pos	E8	valids	peak	274
STARD2	pos	E5	valids	non-peak	97
STARD2	pos	E4	valids	non-peak	102
STARD2	pos	E7	valids	peak	212
STARD2	pos	E6	valids	non-peak	123
STARD2	pos	E11	data	peak	6929
STARD2	pos	E10	data	peak	7052
STARD2	pos	E12	data	non-peak	6718
STARD2	pos	E9	data	peak	6714
STARD2	pos	E8	data	peak	7194
STARD2	pos	E5	data	non-peak	7807
STARD2	pos	E4	data	non-peak	6617
STARD2	pos	E7	data	peak	7607
STARD2	pos	E6	data	non-peak	7688
STARD6	neg	C9	valids	peak	56
STARD6	neg	C8	valids	peak	62
STARD6	neg	C12	valids	non-peak	50
STARD6	neg	C11	valids	peak	57
STARD6	neg	C10	valids	peak	56
STARD6	neg	C7	valids	peak	50
STARD6	neg	C6	valids	non-peak	46
STARD6	neg	C5	valids	non-peak	46
STARD6	neg	C9	data	peak	3935
STARD6	neg	C8	data	peak	4053
STARD6	neg	C12	data	non-peak	4703
STARD6	neg	C11	data	peak	3811
STARD6	neg	C10	data	peak	3769
STARD6	neg	C7	data	peak	3884
STARD6	neg	C6	data	non-peak	3919
STARD6	neg	C5	data	non-peak	3766
STARD6	pos	C9	valids	peak	495
STARD6	pos	C8	valids	peak	534
STARD6	pos	C12	valids	non-peak	139
STARD6	pos	C11	valids	peak	529
STARD6	pos	C10	valids	peak	529
STARD6	pos	C7	valids	peak	450
STARD6	pos	C6	valids	non-peak	340
STARD6	pos	C5	valids	non-peak	149
STARD6	pos	C9	data	peak	3533
STARD6	pos	C8	data	peak	4291
STARD6	pos	C12	data	non-peak	1997
STARD6	pos	C11	data	peak	4066
STARD6	pos	C10	data	peak	3926
STARD6	pos	C7	data	peak	3357
STARD6	pos	C6	data	non-peak	3661
STARD6	pos	C5	data	non-peak	2238
STARD4	neg	A11	valids	non-peak	19
STARD4	neg	A10	valids	peak	24
STARD4	neg	A12	valids	non-peak	19
STARD4	neg	A5	valids	non-peak	3
STARD4	neg	A7	valids	peak	26
STARD4	neg	A6	valids	non-peak	16
STARD4	neg	A9	valids	peak	24
STARD4	neg	A8	valids	peak	19
STARD4	neg	A11	data	non-peak	10685
STARD4	neg	A10	data	peak	10157
STARD4	neg	A12	data	non-peak	10389
STARD4	neg	A5	data	non-peak	6765
STARD4	neg	A7	data	peak	9514
STARD4	neg	A6	data	non-peak	9920
STARD4	neg	A9	data	peak	10139
STARD4	neg	A8	data	peak	10216
STARD4	pos	A11	valids	non-peak	105
STARD4	pos	A10	valids	peak	117
STARD4	pos	A12	valids	non-peak	104
STARD4	pos	A5	valids	non-peak	131
STARD4	pos	A7	valids	peak	166
STARD4	pos	A6	valids	non-peak	103
STARD4	pos	A9	valids	peak	157
STARD4	pos	A8	valids	peak	162
STARD4	pos	A11	data	non-peak	3770
STARD4	pos	A10	data	peak	3597
STARD4	pos	A12	data	non-peak	3903
STARD4	pos	A5	data	non-peak	5386
STARD4	pos	A7	data	peak	4203
STARD4	pos	A6	data	non-peak	4589
STARD4	pos	A9	data	peak	3923
STARD4	pos	A8	data	peak	4246
STARD5	neg	A11	valids	non-peak	121
STARD5	neg	A10	valids	peak	127
STARD5	neg	A12	valids	non-peak	112
STARD5	neg	A5	valids	non-peak	49
STARD5	neg	A7	valids	peak	118
STARD5	neg	A6	valids	non-peak	119
STARD5	neg	A9	valids	peak	117
STARD5	neg	A8	valids	peak	146
STARD5	neg	A11	data	non-peak	9382
STARD5	neg	A10	data	peak	9601
STARD5	neg	A12	data	non-peak	9452
STARD5	neg	A5	data	non-peak	8873
STARD5	neg	A7	data	peak	10342
STARD5	neg	A6	data	non-peak	9651
STARD5	neg	A9	data	peak	9678
STARD5	neg	A8	data	peak	9853
STARD5	pos	A11	valids	non-peak	118
STARD5	pos	A10	valids	peak	148
STARD5	pos	A12	valids	non-peak	130
STARD5	pos	A5	valids	non-peak	110
STARD5	pos	A7	valids	peak	149
STARD5	pos	A6	valids	non-peak	103
STARD5	pos	A9	valids	peak	119
STARD5	pos	A8	valids	peak	140
STARD5	pos	A11	data	non-peak	7339
STARD5	pos	A10	data	peak	7303
STARD5	pos	A12	data	non-peak	7798
STARD5	pos	A5	data	non-peak	8641
STARD5	pos	A7	data	peak	7432
STARD5	pos	A6	data	non-peak	7974
STARD5	pos	A9	data	peak	7754
STARD5	pos	A8	data	peak	7871
