protein	ionm	id	mz	mzcorr	intensity	cls	headgroup1	rtmean	rtms2	rtlow	rtup	headgroup	lyso	pref	carb	unsat	fa1p	fa1c	fa1u	fa2p	fa2c	fa2u	fa3p	fa3c	fa3u	fullhgroup	mhgroup	uhgroup	hgcc	cc	hgfa	ccfa	screen	domain	lit
STARD10	neg	65	1432.9843	1432.9843	35000	III.5	unknown	6.51	6.4859898	6.36	6.68	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	START	False
STARD10	neg	66	1460.0664	1460.0664	31000	III.5	unknown	9.01	9.0207337	8.86	9.28	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	START	False
STARD10	neg	67	1463.0296	1463.0296	31000	III.5	unknown	7.63	7.6340949	7.44	7.77	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	START	False
STARD10	neg	68	730.5043	730.5043	31000	IV	Ambiguous	5.27	6.1163715	4.32	6.6	PS		O	33.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PS-O	ambiguous	PS-O	PS-O(33:2)	33:2	NA	NA	E	START	False
STARD10	neg	68	730.5043	730.5043	31000	IV	Ambiguous	5.27	6.1163715	4.32	6.6	PE		O	33.0	3.0		NaN	NaN		NaN	NaN		NaN	NaN	PE-O	ambiguous	PE-O	PE-O(33:3)	33:3	NA	NA	E	START	False
STARD10	neg	68	730.5043	730.5043	31000	IV	Ambiguous	5.27	6.1163715	4.32	6.6	PC		O	30.0	3.0		NaN	NaN		NaN	NaN		NaN	NaN	PC-O	ambiguous	PC-O	PC-O(30:3)	30:3	NA	NA	E	START	False
STARD10	neg	69	676.457	676.457	31000	III.2	unknown	5.28	5.2542763	5.0	5.52	PS		O	29.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PS-O	NA	NA-O	NA-O(29:1)	29:1	NA	NA	E	START	False
STARD10	neg	69	676.457	676.457	31000	III.2	unknown	5.28	5.2542763	5.0	5.52	PE		O	29.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PE-O	NA	NA-O	NA-O(29:2)	29:2	NA	NA	E	START	False
STARD10	neg	69	676.457	676.457	31000	III.2	unknown	5.28	5.2542763	5.0	5.52	PC		O	26.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PC-O	NA	NA-O	NA-O(26:2)	26:2	NA	NA	E	START	False
STARD10	neg	70	718.5176	718.5176	30000	III.2	unknown	7.81	7.8124661	7.6	8.13	CerP		d	42.0	6.0		NaN	NaN		NaN	NaN		NaN	NaN	CerP	NA	NA	CerP(42:6)	42:6	NA	NA	E	START	False
STARD10	neg	70	718.5176	718.5176	30000	III.2	unknown	7.81	7.8124661	7.6	8.13	HexCer		d	36.0	5.0		NaN	NaN		NaN	NaN		NaN	NaN	HexCer	NA	NA	HexCer(36:5)	36:5	NA	NA	E	START	False
STARD10	neg	70	718.5176	718.5176	30000	III.2	unknown	7.81	7.8124661	7.6	8.13	HexCerOH		t	31.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	HexCerOH	NA	NA	HexCerOH(31:1)	31:1	NA	NA	E	START	False
STARD10	neg	71	1492.0101	1492.0101	30000	III.5	unknown	6.48	6.4638626	6.28	6.6	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	START	False
STARD10	neg	72	1508.0645	1508.0645	27000	III.5	unknown	9.12	9.1103116	8.95	9.35	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	START	False
STARD10	neg	73	689.4407	689.4407	27000	I	PG(14:1/16:1)	4.67	4.6678112	4.35	5.09	PG/BMP			30.0	2.0		14.0	1.0		16.0	1.0		NaN	NaN	PG/BMP	PG/BMP	PG/BMP	PG/BMP(30:2)	30:2	PG/BMP(14:1/16:1)	14:1/16:1	E	START	False
STARD10	neg	74	796.5117	796.5117	25000	III.2	unknown	8.64	8.6423938	8.43	8.87	PS			37.0	4.0		NaN	NaN		NaN	NaN		NaN	NaN	PS	NA	NA	PS(37:4)	37:4	NA	NA	E	START	False
STARD10	neg	74	796.5117	796.5117	25000	III.2	unknown	8.64	8.6423938	8.43	8.87	PE			37.0	5.0		NaN	NaN		NaN	NaN		NaN	NaN	PE	NA	NA	PE(37:5)	37:5	NA	NA	E	START	False
STARD10	neg	74	796.5117	796.5117	25000	III.2	unknown	8.64	8.6423938	8.43	8.87	PC			34.0	5.0		NaN	NaN		NaN	NaN		NaN	NaN	PC	NA	NA	PC(34:5)	34:5	NA	NA	E	START	False
STARD10	neg	74	796.5117	796.5117	25000	III.2	unknown	8.64	8.6423938	8.43	8.87	Hex2Cer		d	26.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN	Hex2Cer	NA	NA	Hex2Cer(26:0)	26:0	NA	NA	E	START	False
STARD10	neg	75	815.5061	815.5061	24000	III.2	unknown	7.5	7.4759866	7.23	7.7	PI		O	34.0	4.0		NaN	NaN		NaN	NaN		NaN	NaN	PI-O	NA	NA-O	NA-O(34:4)	34:4	NA	NA	E	START	False
STARD10	neg	75	815.5061	815.5061	24000	III.2	unknown	7.5	7.4759866	7.23	7.7	PI	Lyso		34.0	4.0		34.0	4.0		NaN	NaN		NaN	NaN	LysoPI	NA	NA	LysoPI(34:4)	34:4	LysoPI(34:4)	34:4	E	START	False
STARD10	neg	75	815.5061	815.5061	24000	III.2	unknown	7.5	7.4759866	7.23	7.7	PG/BMP			36.0	4.0		NaN	NaN		NaN	NaN		NaN	NaN	PG/BMP	NA	NA	PG/BMP(36:4)	36:4	NA	NA	E	START	False
STARD10	neg	76	674.4778	674.4778	23000	I	PE(14:0/17:1)	7.13	7.0668383	6.89	7.36	PE			31.0	1.0		14.0	0.0		17.0	1.0		NaN	NaN	PE	PE	PE	PE(31:1)	31:1	PE(14:0/17:1)	14:0/17:1	E	START	True
STARD10	neg	77	1452.002	1452.002	23000	III.5	unknown	7.81	7.8324396	7.69	8.04	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	START	False
STARD10	neg	78	1489.046	1489.046	23000	III.5	unknown	7.71	7.7231805	7.56	7.92	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	START	False
STARD10	neg	79	837.4204	837.4204	22000	III.5	unknown	7.68	7.675470000000001	7.48	7.92	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	START	False
STARD10	neg	80	786.4017	786.4017	22000	III.5	unknown	6.56	6.5492155	6.36	6.83	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	START	False
STARD10	neg	81	799.5307	799.5307	21000	III.2	unknown	7.59	7.6371978	7.36	7.77	HexDAG			38.0	7.0		NaN	NaN		NaN	NaN		NaN	NaN	HexDAG	NA	NA	HexDAG(38:7)	38:7	NA	NA	E	START	False
STARD10	neg	81	799.5307	799.5307	21000	III.2	unknown	7.59	7.6371978	7.36	7.77	PA			44.0	8.0		NaN	NaN		NaN	NaN		NaN	NaN	PA	NA	NA	PA(44:8)	44:8	NA	NA	E	START	False
STARD10	neg	81	799.5307	799.5307	21000	III.2	unknown	7.59	7.6371978	7.36	7.77	PI	Lyso	O	30.0	0.0	O	30.0	0.0		NaN	NaN		NaN	NaN	LysoPI-O	NA	NA-O	NA-O(30:0)	30:0	NA-O(30:0)	30:0	E	START	False
STARD10	neg	82	717.4722	717.4722	21000	I	BMP(16:0/16:2), PG(16:0/16:2)	6.04	6.060991599999999	5.9	6.24	PG/BMP			32.0	2.0		16.0	0.0		16.0	2.0		NaN	NaN	PG/BMP	PG/BMP	PG/BMP	PG/BMP(32:2)	32:2	PG/BMP(16:0/16:2)	16:0/16:2	E	START	False
STARD10	neg	83	1522.0544	1522.0544	20000	III.5	unknown	7.53	7.514396899999999	7.36	7.65	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	START	False
STARD10	neg	84	936.3714	936.3714	20000	III.5	unknown	7.58	7.5899304	7.44	7.73	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	START	False
STARD10	neg	85	684.4619	684.4619	20000	I	PE(16:1/16:2)	6.22	6.2041062	5.69	6.44	PE			32.0	3.0		16.0	1.0		16.0	2.0		NaN	NaN	PE	PE	PE	PE(32:3)	32:3	PE(16:1/16:2)	16:1/16:2	E	START	True
STARD10	neg	86	845.3767	845.3767	19000	III.5	unknown	7.82	7.799778399999999	7.67	8.08	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	START	False
STARD10	neg	87	715.4567	715.4567	19000	I	BMP(16:1/16:2), PG(16:1/16:2)	5.22	5.2110823	4.9	5.41	PG/BMP			32.0	3.0		16.0	1.0		16.0	2.0		NaN	NaN	PG/BMP	PG/BMP	PG/BMP	PG/BMP(32:3)	32:3	PG/BMP(16:1/16:2)	16:1/16:2	E	START	False
STARD10	neg	88	740.5251	740.5251	18000	I	PE(18:1/18:2)	8.17	8.457813100000001	8.03	9.03	PE			36.0	3.0		18.0	1.0		18.0	2.0		NaN	NaN	PE	PE	PE	PE(36:3)	36:3	PE(18:1/18:2)	18:1/18:2	E	START	True
STARD10	neg	89	825.3764	825.3764	17000	III.5	unknown	6.56	6.5930906	6.36	6.81	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	START	False
STARD10	neg	90	478.2947	478.2947	17000	I	LysoPE(18:1)	2.25	2.1654012	1.63	2.5	LysoPE	Lyso		18.0	1.0		18.0	1.0		NaN	NaN		NaN	NaN	LysoPE	LysoPE	LysoPE	LysoPE(18:1)	18:1	LysoPE(18:1)	18:1	E	START	False
STARD10	neg	91	715.1369	715.1369	16000	III.5	unknown	7.81	7.79592	7.63	8.11	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	START	False
STARD10	neg	92	815.3472	815.3472	15000	III.5	unknown	6.57	6.5892322	6.36	6.76	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	START	False
STARD10	neg	93	877.4538	877.4538	15000	III.5	unknown	8.65	8.647105100000001	8.45	8.88	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	START	False
STARD10	neg	94	787.475	787.475	15000	III.2	unknown	6.38	6.3899438	6.09	6.6	PI		O	32.0	4.0		NaN	NaN		NaN	NaN		NaN	NaN	PI-O	NA	NA-O	NA-O(32:4)	32:4	NA	NA	E	START	False
STARD10	neg	94	787.475	787.475	15000	III.2	unknown	6.38	6.3899438	6.09	6.6	PI	Lyso		32.0	4.0		32.0	4.0		NaN	NaN		NaN	NaN	LysoPI	NA	NA	LysoPI(32:4)	32:4	LysoPI(32:4)	32:4	E	START	False
STARD10	neg	94	787.475	787.475	15000	III.2	unknown	6.38	6.3899438	6.09	6.6	PG/BMP			34.0	4.0		NaN	NaN		NaN	NaN		NaN	NaN	PG/BMP	NA	NA	PG/BMP(34:4)	34:4	NA	NA	E	START	False
STARD10	neg	95	847.4424	847.4424	15000	I	PI(29:0)	7.5	7.4643788	7.29	7.65	PI			29.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN	PI	PI	PI	PI(29:0)	29:0	NA	NA	E	START	False
STARD10	neg	96	450.263	450.263	15000	III.2	unknown	1.37	1.3193378	0.39	1.6	PE		O	16.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PE-O	NA	NA-O	NA-O(16:1)	16:1	NA	NA	E	START	False
STARD10	neg	96	450.263	450.263	15000	III.2	unknown	1.37	1.3193378	0.39	1.6	LysoPE	Lyso		16.0	1.0		16.0	1.0		NaN	NaN		NaN	NaN	LysoPE	NA	NA	LysoPE(16:1)	16:1	LysoPE(16:1)	16:1	E	START	False
STARD10	neg	97	741.8861	741.8861	14000	III.5	unknown	9.11	9.122167999999999	8.97	9.41	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	START	False
STARD10	neg	98	716.4886	716.4886	14000	III.2	unknown	6.13	6.1328312	5.91	6.44	PS		O	32.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PS-O	NA	NA-O	NA-O(32:2)	32:2	NA	NA	E	START	False
STARD10	neg	98	716.4886	716.4886	14000	III.2	unknown	6.13	6.1328312	5.91	6.44	PC		O	29.0	3.0		NaN	NaN		NaN	NaN		NaN	NaN	PC-O	NA	NA-O	NA-O(29:3)	29:3	NA	NA	E	START	False
STARD10	neg	98	716.4886	716.4886	14000	III.2	unknown	6.13	6.1328312	5.91	6.44	PE		O	32.0	3.0		NaN	NaN		NaN	NaN		NaN	NaN	PE-O	NA	NA-O	NA-O(32:3)	32:3	NA	NA	E	START	False
STARD10	neg	99	713.8845	713.8845	12000	III.5	unknown	7.8	7.8567973	7.67	8.08	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	START	False
STARD10	neg	100	816.4481	816.4481	12000	III.5	unknown	8.97	8.9866171	8.76	9.13	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	START	False
STARD10	neg	101	527.4435	527.4435	12000	III.5	unknown	3.57	3.5728045	3.24	3.71	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	START	False
STARD10	neg	102	748.5294	748.5294	11000	IV	Ambiguous	8.79	7.7639556	8.54	8.99	HexCerOH		t	37.0	5.0		NaN	NaN		NaN	NaN		NaN	NaN	HexCerOH	ambiguous	HexCerOH	HexCerOH(37:5)	37:5	NA	NA	E	START	False
STARD10	neg	102	748.5294	748.5294	11000	IV	Ambiguous	8.79	7.7639556	8.54	8.99	PC		O	35.0	6.0		NaN	NaN		NaN	NaN		NaN	NaN	PC-O	ambiguous	PC-O	PC-O(35:6)	35:6	NA	NA	E	START	False
STARD10	neg	102	748.5294	748.5294	11000	IV	Ambiguous	8.79	7.7639556	8.54	8.99	PE		O	38.0	6.0		NaN	NaN		NaN	NaN		NaN	NaN	PE-O	ambiguous	PE-O	PE-O(38:6)	38:6	NA	NA	E	START	False
STARD10	neg	103	785.4593	785.4593	11000	III.2	unknown	5.47	5.4700624	5.2	5.67	PI		O	32.0	5.0		NaN	NaN		NaN	NaN		NaN	NaN	PI-O	NA	NA-O	NA-O(32:5)	32:5	NA	NA	E	START	False
STARD10	neg	103	785.4593	785.4593	11000	III.2	unknown	5.47	5.4700624	5.2	5.67	PI	Lyso		32.0	5.0		32.0	5.0		NaN	NaN		NaN	NaN	LysoPI	NA	NA	LysoPI(32:5)	32:5	LysoPI(32:5)	32:5	E	START	False
STARD10	neg	103	785.4593	785.4593	11000	III.2	unknown	5.47	5.4700624	5.2	5.67	PG/BMP			34.0	5.0		NaN	NaN		NaN	NaN		NaN	NaN	PG/BMP	NA	NA	PG/BMP(34:5)	34:5	NA	NA	E	START	False
STARD10	neg	104	663.4258	663.4258	10000	I	BMP(12:0/16:1), PG(12:0/16:1)	4.47	4.4529428	4.16	4.75	PG/BMP			28.0	1.0		12.0	0.0		16.0	1.0		NaN	NaN	PG/BMP	PG/BMP	PG/BMP	PG/BMP(28:1)	28:1	PG/BMP(12:0/16:1)	12:0/16:1	E	START	False
STARD10	neg	105	1434.0521	1434.0521	9500	III.5	unknown	8.96	8.9905422	8.8	9.03	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	START	False
STARD10	neg	106	707.4516	707.4516	9400	III.2	unknown	4.51	4.517167	4.18	4.69	PG		O	29.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PG-O	NA	NA-O	NA-O(29:2)	29:2	NA	NA	E	START	False
STARD10	neg	107	758.4985	758.4985	6600	III.2	unknown	4.58	4.5915492	4.38	4.75	PS			34.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PS	NA	NA	PS(34:2)	34:2	NA	NA	E	START	False
STARD10	neg	107	758.4985	758.4985	6600	III.2	unknown	4.58	4.5915492	4.38	4.75	PC			31.0	3.0		NaN	NaN		NaN	NaN		NaN	NaN	PC	NA	NA	PC(31:3)	31:3	NA	NA	E	START	False
STARD10	neg	107	758.4985	758.4985	6600	III.2	unknown	4.58	4.5915492	4.38	4.75	PE			34.0	3.0		NaN	NaN		NaN	NaN		NaN	NaN	PE	NA	NA	PE(34:3)	34:3	NA	NA	E	START	False
STARD10	neg	108	843.4694	843.4694	5100	II	PI(33:6)	6.46	9.045976099999999	6.23	6.68	PI			33.0	6.0		NaN	NaN		NaN	NaN		NaN	NaN	PI	PI	PI	PI(33:6)	33:6	NA	NA	E	START	False
STARD10	pos	0	744.5533	744.5533	57000000	I	PE(18:1/18:1)	9.15	9.1549724	8.87	9.61	PE			36.0	2.0		18.0	1.0		18.0	1.0		NaN	NaN	PE	PE	PE	PE(36:2)	36:2	PE(18:1/18:1)	18:1/18:1	E	START	True
STARD10	pos	1	716.5222	716.5222	48000000	I	PE(16:1/18:1)	7.83	7.834513	7.54	8.16	PE			34.0	2.0		16.0	1.0		18.0	1.0		NaN	NaN	PE	PE	PE	PE(34:2)	34:2	PE(16:1/18:1)	16:1/18:1	E	START	True
STARD10	pos	2	792.5747	792.5747	18000000	I	PG(18:1/18:1)	7.67	7.6658752	7.38	8.06	PG			36.0	2.0		18.0	1.0		18.0	1.0		NaN	NaN	PG	PG	PG	PG(36:2)	36:2	PG(18:1/18:1)	18:1/18:1	E	START	False
STARD10	pos	3	688.4912	688.4912	15000000	I	PE(16:1/16:1)	6.59	6.6009866	6.27	6.89	PE			32.0	2.0		16.0	1.0		16.0	1.0		NaN	NaN	PE	PE	PE	PE(32:2)	32:2	PE(16:1/16:1)	16:1/16:1	E	START	True
STARD10	pos	4	786.6003	786.6003	14000000	I	PC(36:2)	8.91	8.9020776	8.66	9.4	PC			36.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PC	PC	PC	PC(36:2)	36:2	NA	NA	E	START	True
STARD10	pos	5	690.5063	690.5063	13000000	I	PE(16:0/16:1)	7.7	7.7080795	7.42	8.01	PE			32.0	1.0		16.0	0.0		16.0	1.0		NaN	NaN	PE	PE	PE	PE(32:1)	32:1	PE(16:0/16:1)	16:0/16:1	E	START	True
STARD10	pos	6	718.5377	718.5377	12000000	I	PE(16:0/18:1)	8.98	8.9798505	8.48	9.33	PE			34.0	1.0		16.0	0.0		18.0	1.0		NaN	NaN	PE	PE	PE	PE(34:1)	34:1	PE(16:0/18:1)	16:0/18:1	E	START	True
STARD10	pos	7	764.5432	764.5432	9300000	I	PG(16:1/18:1)	6.52	6.5221681	6.14	6.81	PG			34.0	2.0		16.0	1.0		18.0	1.0		NaN	NaN	PG	PG	PG	PG(34:2)	34:2	PG(16:1/18:1)	16:1/18:1	E	START	False
STARD10	pos	8	1488.0988	1488.0988	5000000	III.5	unknown	9.13	9.1814976	8.95	9.35	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	START	False
STARD10	pos	9	730.5385	730.5385	4300000	I	PE(17:1/18:1)	8.66	8.6454042	8.4	9.03	PE			35.0	2.0		17.0	1.0		18.0	1.0		NaN	NaN	PE	PE	PE	PE(35:2)	35:2	PE(17:1/18:1)	17:1/18:1	E	START	True
STARD10	pos	10	1432.0359	1432.0359	4100000	III.5	unknown	7.82	7.8562151	7.62	8.02	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	START	False
STARD10	pos	11	766.5594	766.5594	4100000	I	PG(16:0/18:1)	7.54	7.54725	7.21	7.8	PG			34.0	1.0		16.0	0.0		18.0	1.0		NaN	NaN	PG	PG	PG	PG(34:1)	34:1	PG(16:0/18:1)	16:0/18:1	E	START	False
STARD10	pos	12	603.534	603.534	3200000	III.2	unknown	7.67	7.6904287	7.34	8.01	DAG-O		O	36.0	4.0		NaN	NaN		NaN	NaN		NaN	NaN	DAG-O	NA	NA-O	NA-O(36:4)	36:4	NA	NA	E	START	False
STARD10	pos	12	603.534	603.534	3200000	III.2	unknown	7.67	7.6904287	7.34	8.01	DAG-O		O	34.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	DAG-O	NA	NA-O	NA-O(34:1)	34:1	NA	NA	E	START	False
STARD10	pos	13	738.5278	738.5278	2300000	I	PG(16:0/16:1)	6.42	6.3986637	6.03	6.78	PG			32.0	1.0		16.0	0.0		16.0	1.0		NaN	NaN	PG	PG	PG	PG(32:1)	32:1	PG(16:0/16:1)	16:0/16:1	E	START	False
STARD10	pos	14	775.5476	775.5476	2200000	III.2	unknown	7.68	7.664324	7.34	8.01	PG/BMP			36.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PG/BMP	PG/BMP	PG/BMP	PG/BMP(36:2)	36:2	NA	NA	E	START	False
STARD10	pos	15	431.3839	431.3839	2200000	III.5	unknown	3.48	3.47	2.92	3.85	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	START	False
STARD10	pos	16	732.5172	732.5172	2100000	III.2	unknown	6.56	6.5456853	6.03	6.98	PS		O	33.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PS-O	NA	NA-O	NA-O(33:2)	33:2	NA	NA	E	START	False
STARD10	pos	16	732.5172	732.5172	2100000	III.2	unknown	6.56	6.5456853	6.03	6.98	PG		O	33.0	4.0		NaN	NaN		NaN	NaN		NaN	NaN	PG-O	NA	NA-O	NA-O(33:4)	33:4	NA	NA	E	START	False
STARD10	pos	17	702.5072	702.5072	1900000	I	PE(16:1/17:1)	7.38	7.3848321	7.07	7.67	PE			33.0	2.0		16.0	1.0		17.0	1.0		NaN	NaN	PE	PE	PE	PE(33:2)	33:2	PE(16:1/17:1)	16:1/17:1	E	START	True
STARD10	pos	18	575.503	575.503	1800000	III.2	unknown	6.52	6.506128899999999	6.14	6.76	DAG-O		O	34.0	4.0		NaN	NaN		NaN	NaN		NaN	NaN	DAG-O	NA	NA-O	NA-O(34:4)	34:4	NA	NA	E	START	False
STARD10	pos	18	575.503	575.503	1800000	III.2	unknown	6.52	6.506128899999999	6.14	6.76	DAG-O		O	32.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	DAG-O	NA	NA-O	NA-O(32:1)	32:1	NA	NA	E	START	False
STARD10	pos	19	758.5691	758.5691	1500000	I	PE(18:1/19:1)	10.04	10.047619	9.83	10.34	PE			37.0	2.0		18.0	1.0		19.0	1.0		NaN	NaN	PE	PE	PE	PE(37:2)	37:2	PE(18:1/19:1)	18:1/19:1	E	START	True
STARD10	pos	20	736.5128	736.5128	1400000	I	PG(16:1/16:1)	5.5	5.493678200000001	5.04	5.74	PG			32.0	2.0		16.0	1.0		16.0	1.0		NaN	NaN	PG	PG	PG	PG(32:2)	32:2	PG(16:1/16:1)	16:1/16:1	E	START	False
STARD10	pos	21	704.5223	704.5223	1300000	I	PE(16:0/17:1)	8.53	8.5421532	8.27	8.95	PE			33.0	1.0		16.0	0.0		17.0	1.0		NaN	NaN	PE	PE	PE	PE(33:1)	33:1	PE(16:0/17:1)	16:0/17:1	E	START	True
STARD10	pos	22	747.5165	747.5165	1200000	III.2	unknown	6.52	6.5138331	6.14	6.76	BMP			34.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	BMP	NA	BMP	BMP(34:2)	34:2	NA	NA	E	START	False
STARD10	pos	23	662.4755	662.4755	1100000	I	PE(14:0/16:1)	6.38	6.375369	6.05	6.76	PE			30.0	1.0		14.0	0.0		16.0	1.0		NaN	NaN	PE	PE	PE	PE(30:1)	30:1	PE(14:0/16:1)	14:0/16:1	E	START	True
STARD10	pos	24	445.3995	445.3995	1000000	III.2	unknown	3.52	3.5349892	2.83	4.0	FA			30.0	4.0		NaN	NaN		NaN	NaN		NaN	NaN	FA	NA	FA	FA(30:4)	30:4	NA	NA	E	START	False
STARD10	pos	25	1406.0195	1406.0195	960000	III.5	unknown	7.75	7.6833108	7.54	7.95	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	START	False
STARD10	pos	26	1462.0828	1462.0828	940000	III.5	unknown	9.05	9.0363336	8.87	9.27	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	START	False
STARD10	pos	27	577.5186	577.5186	910000	III.2	unknown	7.54	7.5428491	7.21	7.85	DAG-O		O	34.0	3.0		NaN	NaN		NaN	NaN		NaN	NaN	DAG-O	NA	NA-O	NA-O(34:3)	34:3	NA	NA	E	START	False
STARD10	pos	27	577.5186	577.5186	910000	III.2	unknown	7.54	7.5428491	7.21	7.85	DAG-O		O	32.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN	DAG-O	NA	NA-O	NA-O(32:0)	32:0	NA	NA	E	START	False
STARD10	pos	28	704.4866	704.4866	860000	III.2	unknown	5.48	5.464150900000001	5.17	5.72	PS		O	31.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PS-O	NA	NA-O	NA-O(31:2)	31:2	NA	NA	E	START	False
STARD10	pos	28	704.4866	704.4866	860000	III.2	unknown	5.48	5.464150900000001	5.17	5.72	PG		O	31.0	4.0		NaN	NaN		NaN	NaN		NaN	NaN	PG-O	NA	NA-O	NA-O(31:4)	31:4	NA	NA	E	START	False
STARD10	pos	29	706.5012	706.5012	750000	III.2	unknown	6.43	6.4374916	5.83	6.82	PS		O	31.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PS-O	NA	NA-O	NA-O(31:1)	31:1	NA	NA	E	START	False
STARD10	pos	29	706.5012	706.5012	750000	III.2	unknown	6.43	6.4374916	5.83	6.82	PG		O	31.0	3.0		NaN	NaN		NaN	NaN		NaN	NaN	PG-O	NA	NA-O	NA-O(31:3)	31:3	NA	NA	E	START	False
STARD10	pos	30	760.5489	760.5489	740000	III.2	unknown	7.7	7.675851	7.18	8.56	PS		O	35.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PS-O	NA	NA-O	NA-O(35:2)	35:2	NA	NA	E	START	False
STARD10	pos	30	760.5489	760.5489	740000	III.2	unknown	7.7	7.675851	7.18	8.56	PG		O	35.0	4.0		NaN	NaN		NaN	NaN		NaN	NaN	PG-O	NA	NA-O	NA-O(35:4)	35:4	NA	NA	E	START	False
STARD10	pos	31	603.5344	603.5344	620000	III.2	unknown	9.1	9.0624044	8.52	14.16	DAG-O		O	36.0	4.0		NaN	NaN		NaN	NaN		NaN	NaN	DAG-O	NA	NA-O	NA-O(36:4)	36:4	NA	NA	E	START	False
STARD10	pos	31	603.5344	603.5344	620000	III.2	unknown	9.1	9.0624044	8.52	14.16	DAG-O		O	34.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	DAG-O	NA	NA-O	NA-O(34:1)	34:1	NA	NA	E	START	False
STARD10	pos	32	1491.0612	1491.0612	620000	III.5	unknown	7.71	7.709761599999999	7.54	7.95	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	START	False
